country,year,tax_price_only,ets_price_only,has_tax,has_ets,any_carbon_price_dummy,carbon_price_max,tax_type,tax_price
Sweden,2000,42.675894,0.000000,1,0,1,42.675894,1,42.675894
Sweden,2001,51.022864,0.000000,1,0,1,51.022864,1,51.022864
Sweden,2002,60.943168,0.000000,1,0,1,60.943168,1,60.943168
Sweden,2003,89.649071,0.000000,1,0,1,89.649071,1,89.649071
Sweden,2004,120.529801,0.000000,1,0,1,120.529801,1,120.529801
Sweden,2005,128.803963,19.049730,1,1,1,128.803963,3,128.803963
Sweden,2006,118.786314,32.353992,1,1,1,118.786314,3,118.786314
Sweden,2007,132.857143,1.251892,1,1,1,132.857143,3,132.857143
Sweden,2008,168.825742,34.483320,1,1,1,168.825742,3,168.825742
Sweden,2009,126.582279,15.550804,1,1,1,126.582279,3,126.582279
Sweden,2010,145.479737,17.265976,1,1,1,145.479737,3,145.479737
Sweden,2011,166.073547,23.756880,1,1,1,166.073547,3,166.073547
Sweden,2012,163.119818,9.322488,1,1,1,163.119818,3,163.119818
Sweden,2013,165.740769,6.043960,1,1,1,165.740769,3,165.740769
Sweden,2014,167.421095,6.757100,1,1,1,167.421095,3,167.421095
Sweden,2015,129.811426,7.689825,1,1,1,129.811426,3,129.811426
Sweden,2016,137.829190,5.921776,1,1,1,137.829190,3,137.829190
Sweden,2017,126.491593,5.644848,1,1,1,126.491593,3,126.491593
Sweden,2018,141.155079,16.263720,1,1,1,141.155079,3,141.155079
Sweden,2019,127.534477,24.505716,1,1,1,127.534477,3,127.534477
Sweden,2020,119.432345,18.536520,1,1,1,119.432345,3,119.432345
Sweden,2021,136.099547,49.779548,1,1,1,136.099547,3,136.099547
Sweden,2022,129.888105,86.526108,1,1,1,129.888105,3,129.888105
Sweden,2023,125.556554,96.298125,1,1,1,125.556554,3,125.556554
Sweden,2024,123.696076,61.301547,1,1,1,123.696076,3,123.696076
Sweden,2025,144.624699,70.370124,1,1,1,144.624699,3,144.624699
Switzerland,2008,11.918951,0.000000,1,0,1,11.918951,1,11.918951
Switzerland,2009,21.037868,0.000000,1,0,1,21.037868,1,21.037868
Switzerland,2010,34.210776,0.000000,1,0,1,34.210776,1,34.210776
Switzerland,2011,39.015932,25.453800,1,1,1,39.015932,3,39.015932
Switzerland,2012,39.862695,24.040800,1,1,1,39.862695,3,39.862695
Switzerland,2013,37.811154,0.000000,1,0,1,37.811154,1,37.811154
Switzerland,2014,67.942475,55.504750,1,1,1,67.942475,3,67.942475
Switzerland,2015,61.957869,12.906000,1,1,1,61.957869,3,61.957869
Switzerland,2016,87.582108,10.288800,1,1,1,87.582108,3,87.582108
Switzerland,2017,83.916084,6.949150,1,1,1,83.916084,3,83.916084
Switzerland,2018,100.334448,9.240750,1,1,1,100.334448,3,100.334448
Switzerland,2019,96.463023,8.033740,1,1,1,96.463023,3,96.463023
Switzerland,2020,99.440646,19.848840,1,1,1,99.440646,3,99.440646
Switzerland,2021,101.474552,46.103050,1,1,1,101.474552,3,101.474552
Switzerland,2022,129.856076,65.593620,1,1,1,129.856076,3,129.856076
Switzerland,2023,130.811577,93.807750,1,1,1,130.811577,3,130.811577
